,CustomerID,Frequency,Recency,Monetary,rankR,rankF,rankM,groupRFM,Country
56,12413,40,99,210.29,5,1,2,512,France
57,12414,18,250,154.26,3,1,1,311,Austria
58,12415,778,57,2499.82,5,5,5,555,Australia
59,12417,198,36,1074.23,5,4,5,545,Belgium
60,12417,198,36,1074.23,5,4,5,545,Spain
61,12418,34,145,121.19,4,1,1,411,Switzerland
62,12420,29,96,136.51,5,1,1,511,Cyprus
63,12421,46,48,204.18,5,1,2,512,Spain
64,12422,39,128,127.15,4,1,1,411,Australia
65,12422,39,128,127.15,4,1,1,411,Switzerland
66,12423,126,33,365.05,5,3,3,533,Belgium
67,12424,30,195,83.42,4,1,1,411,Australia
68,12425,36,111,92.32,5,1,1,511,Portugal
69,12426,30,227,118.09,3,1,1,311,Germany
70,12427,35,44,161.17,5,1,1,511,Germany
71,12428,300,58,1418.79,5,5,5,555,Finland
72,12429,97,42,352.18,5,2,3,523,Denmark
73,12429,97,42,352.18,5,2,3,523,Austria
74,12430,11,76,68.48,5,1,1,511,Norway
75,12431,240,68,902,5,5,5,555,Australia
76,12431,240,68,902,5,5,5,555,Belgium
77,12432,108,75,1139.49,5,2,5,525,Norway
78,12433,420,33,920.95,5,5,5,555,Norway
79,12434,54,117,198.13,4,1,2,412,Australia
80,12435,36,112,197.25,5,1,2,512,Denmark
81,12436,16,132,84.28,4,1,1,411,Norway
82,12437,201,34,809.45,5,4,5,545,France
83,12438,98,47,381.7,5,2,3,523,Norway
84,12441,11,399,40.71,1,1,1,111,France
85,12442,12,36,40.08,5,1,1,511,Spain
86,12444,177,54,1119.13,5,4,5,545,Norway
87,12445,4,55,31.95,5,1,1,511,Spain
88,12446,58,90,248.1,5,1,2,512,RSA
89,12447,26,276,92.93,3,1,1,311,Belgium
90,12448,22,77,130.94,5,1,1,511,Spain
91,12449,191,55,705.69,5,4,5,545,Belgium
92,12450,8,189,12.94,4,1,1,411,Spain
93,12451,355,43,868.18,5,5,5,555,Switzerland
94,12452,23,49,99.67,5,1,1,511,Switzerland
95,12453,43,167,102.91,4,1,1,411,Austria
96,12454,30,86,218.46,5,1,2,512,Spain
97,12455,90,106,285.6,5,2,2,522,Cyprus
98,12455,90,106,285.6,5,2,2,522,Spain
99,12456,129,77,461.37,5,3,3,533,Switzerland
100,12457,68,91,352.37,5,2,3,523,Switzerland
101,12457,68,91,352.37,5,2,3,523,Cyprus
102,12458,38,104,164.4,5,1,1,511,Switzerland
103,12461,35,127,149.06,4,1,1,411,Switzerland
104,12462,72,35,332.42,5,2,2,522,Spain
105,12463,88,79,269.91,5,2,2,522,Belgium
106,12464,29,43,343.15,5,1,3,513,Belgium
107,12465,51,40,138.02,5,1,1,511,Belgium
108,12468,40,176,139.07,4,1,1,411,Germany
109,12471,531,35,2266.87,5,5,5,555,Germany
110,12472,391,63,970.12,5,5,5,555,Germany
111,12473,179,62,2437.84,5,4,5,545,Germany
112,12474,457,50,1331.7,5,5,5,555,Germany
113,12475,36,86,105.88,5,1,1,511,Germany
114,12476,264,34,1306.93,5,5,5,555,Germany
115,12477,308,55,1333.87,5,5,5,555,Germany
116,12478,36,36,163.36,5,1,1,511,Greece
117,12479,35,36,91.43,5,1,1,511,Germany
118,12480,154,61,482.7,5,3,3,533,Germany
119,12481,218,55,741.44,5,4,5,545,Germany
120,12483,81,50,484.21,5,2,3,523,Sweden
121,12484,350,65,1114.08,5,5,5,555,Spain
122,12488,55,42,205.41,5,1,2,512,France
123,12489,15,369,88.62,1,1,1,111,France
124,12490,245,38,659.75,5,5,4,554,France
125,12491,26,71,87.8,5,1,1,511,France
126,12492,20,96,66.95,5,1,1,511,Germany
127,12493,23,198,111.75,4,1,1,411,France
128,12494,84,42,351.94,5,2,3,523,France
129,12497,14,114,28.84,5,1,1,511,Germany
130,12498,23,54,96.55,5,1,1,511,Germany
131,12500,65,56,381.95,5,2,3,523,Germany
132,12501,160,348,387.32,2,3,3,233,Germany
133,12502,147,128,944.51,4,3,5,435,Spain
134,12503,1,370,1126,1,1,5,115,Spain
135,12504,15,51,141.7,5,1,1,511,Germany
136,12505,1,334,4.5,2,1,1,211,Italy
137,12506,23,265,73.5,3,1,1,311,France
138,12507,23,167,106.37,4,1,1,411,Spain
139,12508,69,59,118.71,5,2,1,521,France
140,12509,7,317,38.95,2,1,1,211,France
141,12510,33,175,140.69,4,1,1,411,Spain
142,12512,34,99,87.7,5,1,1,511,Israel
143,12513,36,117,80.57,4,1,1,411,France
144,12514,51,300,168.14,2,1,1,211,Italy
145,12515,16,386,108.5,1,1,1,111,Italy
146,12516,26,110,70.87,5,1,1,511,Germany
147,12517,286,61,671.48,5,5,4,554,Germany
148,12518,124,33,351.81,5,3,3,533,Germany
149,12519,18,96,53.84,5,1,1,511,Germany
150,12520,155,112,526.09,5,3,4,534,Germany
151,12521,38,175,113.84,4,1,1,411,Germany
152,12522,12,72,60.01,5,1,1,511,Germany
153,12523,110,34,567.36,5,2,4,524,France
154,12524,144,42,420.06,5,3,3,533,Germany
155,12526,71,33,238.12,5,2,2,522,Germany
156,12527,18,114,52.73,5,1,1,511,Germany
157,12528,95,42,512.34,5,2,4,524,Germany
158,12530,68,92,264.47,5,2,2,522,Germany
159,12531,17,47,64.76,5,1,1,511,Germany
160,12532,16,63,59.17,5,1,1,511,France
161,12534,63,163,191.23,4,2,2,422,Germany
162,12535,34,124,151.35,4,1,1,411,France
163,12536,273,40,13255.22,5,5,5,555,France
164,12538,21,62,76.51,5,1,1,511,Spain
165,12539,274,55,2856.04,5,5,5,555,Spain
166,12540,481,52,1875.34,5,5,5,555,Spain
167,12541,52,62,188.02,5,1,2,512,Spain
168,12544,20,62,82.27,5,1,1,511,Spain
169,12545,50,108,201.19,5,1,2,512,Spain
170,12546,70,79,222,5,2,2,522,Spain
171,12547,8,230,63.6,3,1,1,311,Spain
172,12548,5,199,33.6,4,1,1,411,Spain
173,12550,57,112,176.15,5,1,2,512,Spain
174,12551,10,390,16.8,1,1,1,111,Spain
175,12552,20,71,182.31,5,1,2,512,Italy
176,12553,196,41,617.78,5,4,4,544,France
177,12556,121,83,322.14,5,3,2,532,Spain
178,12557,33,49,71.83,5,1,1,511,Spain
179,12558,22,34,27.5,5,1,1,511,USA
180,12559,22,343,87.28,2,1,1,211,Germany
181,12560,111,38,315.8,5,2,2,522,Germany
182,12561,16,335,47.43,2,1,1,211,Germany
183,12562,168,41,535.62,5,3,4,534,France
184,12564,21,294,117.1,2,1,1,211,France
185,12565,10,314,24.11,2,1,1,211,Saudi Arabia
186,12566,20,105,79.12,5,1,1,511,Germany
187,12567,463,55,1557.35,5,5,5,555,France
188,12569,191,35,1061.65,5,4,5,545,Germany
189,12571,34,72,44.9,5,1,1,511,France
190,12572,62,41,269.37,5,2,2,522,Germany
191,12573,28,260,58.7,3,1,1,311,France
192,12574,11,348,57.2,2,1,1,211,France
193,12576,89,68,214.55,5,2,2,522,Poland
194,12577,148,68,274.27,5,3,2,532,France
195,12578,120,54,373,5,3,3,533,Italy
196,12579,31,106,116.77,5,1,1,511,France
197,12580,24,279,62.58,3,1,1,311,Germany
198,12581,15,72,43.39,5,1,1,511,Germany
199,12582,22,271,115.1,3,1,1,311,Finland
200,12583,251,35,791.28,5,5,5,555,France
201,12584,126,36,938.1,5,3,5,535,Italy
202,12585,97,267,339.25,3,2,3,323,Germany
203,12586,12,50,54.6,5,1,1,511,Italy
204,12587,4,40,46.24,5,1,1,511,Finland
205,12588,10,72,95.8,5,1,1,511,Finland
206,12589,35,61,157.6,5,1,1,511,France
207,12590,70,223,718.66,3,2,5,325,Germany
208,12591,26,350,98.3,2,1,1,211,Italy
209,12592,18,125,59.6,4,1,1,411,Germany
210,12593,21,141,55.7,4,1,1,411,France
211,12594,119,70,374.73,5,3,3,533,Italy
212,12596,27,84,118.95,5,1,1,511,Spain
213,12597,214,52,852.51,5,4,5,545,Spain
214,12598,133,42,376.07,5,3,3,533,France
215,12599,62,62,185.77,5,2,2,522,France
216,12600,65,61,368.32,5,2,3,523,Germany
217,12601,29,222,189.81,3,1,2,312,Germany
218,12602,12,91,23.65,5,1,1,511,France
219,12603,3,54,28.95,5,1,1,511,Germany
220,12604,16,112,41.46,5,1,1,511,France
221,12605,3,398,5.4,1,1,1,111,Germany
222,12607,202,91,435.86,5,4,3,543,USA
223,12609,60,111,211.07,5,2,2,522,Germany
224,12610,111,55,545.77,5,2,4,524,Italy
225,12611,65,85,173.88,5,2,2,522,Italy
226,12612,21,90,94.24,5,1,1,511,Germany
227,12613,163,64,477.71,5,3,3,533,Germany
228,12614,20,310,112.2,2,1,1,211,Germany
229,12615,105,35,324.41,5,2,2,522,France
230,12616,36,118,145.95,4,1,1,411,France
231,12617,42,62,79.93,5,1,1,511,France
232,12618,11,54,73.02,5,1,1,511,Italy
233,12619,95,49,1030.57,5,2,5,525,Germany
234,12620,92,47,197.6,5,2,2,522,France
235,12621,474,34,1373.65,5,5,5,555,Germany
236,12622,11,265,63.13,3,1,1,311,Germany
237,12623,18,309,47.32,2,1,1,211,Germany
238,12624,38,139,147.14,4,1,1,411,France
239,12625,91,244,210.64,3,2,2,322,Germany
240,12626,307,56,872,5,5,5,555,Germany
241,12627,230,43,675.72,5,5,4,554,Germany
242,12628,43,37,158.14,5,1,1,511,Germany
243,12630,64,42,287.13,5,2,2,522,Finland
244,12631,31,90,140.65,5,1,1,511,Finland
245,12633,103,91,327.28,5,2,2,522,Germany
246,12635,101,122,254.73,4,2,2,422,Germany
247,12637,394,100,1060.19,5,5,5,555,France
248,12638,39,66,99.84,5,1,1,511,Sweden
249,12639,22,271,108.2,3,1,1,311,Sweden
250,12640,53,56,303,5,1,2,512,France
251,12641,10,148,69.65,4,1,1,411,Sweden
252,12642,47,58,168.76,5,1,1,511,Germany
253,12643,24,161,124.51,4,1,1,411,France
254,12644,31,162,86.94,4,1,1,411,Germany
255,12645,74,66,192.26,5,2,2,522,Germany
256,12646,45,37,107.42,5,1,1,511,USA
257,12647,128,55,696.66,5,3,5,535,Germany
258,12648,21,187,66.62,4,1,1,411,Germany
259,12649,33,140,86.91,4,1,1,411,Germany
260,12650,20,36,38.69,5,1,1,511,France
261,12651,9,367,20.2,1,1,1,111,France
262,12652,51,355,144.52,2,1,1,211,France
263,12653,43,181,111.41,4,1,1,411,Israel
264,12654,38,43,167.98,5,1,1,511,Germany
265,12656,130,50,582.23,5,3,4,534,France
266,12657,56,44,284.53,5,1,2,512,France
267,12658,36,51,148.12,5,1,1,511,Germany
268,12659,5,62,26.54,5,1,1,511,France
269,12660,13,44,50.25,5,1,1,511,France
270,12662,232,33,741.49,5,5,5,555,Germany
271,12664,38,41,428.14,5,1,3,513,Finland
272,12665,4,357,21.75,2,1,1,211,Germany
273,12666,2,392,8.06,1,1,1,111,Israel
274,12667,33,91,119.6,5,1,1,511,Finland
275,12668,168,40,571.84,5,3,4,534,Germany
276,12669,102,183,2524.18,4,2,5,425,France
277,12670,94,43,301,5,2,2,522,France
278,12672,10,362,37.9,2,1,1,211,France
279,12673,42,38,122.99,5,1,1,511,Germany
280,12674,91,44,290.68,5,2,2,522,France
281,12676,45,57,316.27,5,1,2,512,Sweden
282,12678,167,75,1084.87,5,3,5,535,France
283,12679,56,85,215.13,5,1,2,512,France
284,12680,52,33,189.17,5,1,2,512,France
285,12681,646,47,2061.71,5,5,5,555,France
286,12682,525,36,1968.83,5,5,5,555,France
287,12683,362,37,1018.24,5,5,5,555,France
288,12684,105,40,266.28,5,2,2,522,France
289,12685,157,61,482.15,5,3,3,533,France
290,12686,7,404,22.81,1,1,1,111,France
291,12688,171,146,705.33,4,3,5,435,Israel
292,12689,72,58,205.34,5,2,2,522,France
293,12690,16,238,88.43,3,1,1,311,France
294,12691,32,61,161.15,5,1,1,511,France
295,12693,41,153,225.87,4,1,2,412,Germany
296,12694,37,103,144.36,5,1,1,511,France
297,12695,27,40,129.21,5,1,1,511,France
298,12697,43,54,210.67,5,1,2,512,Sweden
299,12700,270,40,738.13,5,5,5,555,France
300,12701,53,112,163.81,5,1,1,511,Germany
301,12702,12,52,65.3,5,1,1,511,Germany
302,12703,22,97,58.35,5,1,1,511,Germany
303,12704,90,40,645.7,5,2,4,524,Finland
304,12705,348,48,984.25,5,5,5,555,Germany
305,12707,33,324,106.81,2,1,1,211,France
306,12708,174,62,724.47,5,4,5,545,Germany
307,12709,257,36,966.07,5,5,5,555,Germany
308,12710,79,129,227.77,4,2,2,422,Germany
309,12712,142,55,939.13,5,3,5,535,Germany
310,12713,38,33,95.13,5,1,1,511,Germany
311,12714,259,42,619.5,5,5,4,554,France
312,12715,21,139,71.44,4,1,1,411,Sweden
313,12716,69,36,183.94,5,2,2,522,France
314,12717,56,184,306.85,4,1,2,412,Greece
315,12718,19,104,51.72,5,1,1,511,France
316,12719,42,38,149.5,5,1,1,511,France
317,12720,359,35,987.06,5,5,5,555,Germany
318,12721,164,64,509.48,5,3,4,534,France
319,12722,57,118,251.27,4,1,2,412,France
320,12723,69,36,220.96,5,2,2,522,France
321,12724,53,38,197.22,5,1,2,512,France
322,12725,24,404,98.5,1,1,1,111,Italy
323,12726,124,61,261.23,5,3,2,532,France
324,12727,141,43,466.43,5,3,3,533,France
325,12728,46,104,214.79,5,1,2,512,France
326,12729,26,146,96.24,4,1,1,411,France
327,12731,277,56,930.75,5,5,5,555,France
328,12732,12,212,42.27,3,1,1,311,France
329,12733,22,267,74.2,3,1,1,311,USA
330,12734,4,385,4.74,1,1,1,111,France
331,12735,43,348,232.9,2,1,2,212,France
332,12736,4,365,22.32,2,1,1,211,France
333,12738,11,405,43.45,1,1,1,111,Germany
334,12739,38,111,152.32,5,1,1,511,United Arab Emirates
335,12740,27,96,56,5,1,1,511,France
336,12743,134,167,407.17,4,3,3,433,Unspecified
337,12744,229,84,25108.89,5,4,5,545,Singapore
338,12747,103,35,449.89,5,2,3,523,United Kingdom
339,12748,4642,33,15115.6,5,5,5,555,United Kingdom
340,12749,231,36,1171.5,5,5,5,555,United Kingdom
341,12750,15,161,69.3,4,1,1,411,Poland
342,12752,53,114,121.59,5,1,1,511,Norway
343,12753,230,36,536.39,5,5,4,554,Japan
344,12754,65,268,132.5,3,2,1,321,Japan
345,12755,6,282,40.2,3,1,1,311,Japan
346,12756,4,119,2.97,4,1,1,411,Japan
347,12757,377,48,8035.24,5,5,5,555,Portugal
348,12758,97,149,164.96,4,2,1,421,Portugal
349,12759,95,85,305.47,5,2,2,522,Netherlands
350,12762,69,40,188.79,5,2,2,522,Portugal
351,12763,18,171,31.89,4,1,1,411,Japan
352,12764,45,349,242.44,2,1,2,212,Lebanon
353,12766,310,36,951.95,5,5,5,555,Portugal
354,12769,32,271,142.6,3,1,1,311,Brazil
355,12770,12,243,31.5,3,1,1,311,Japan
356,12772,55,92,203.54,5,1,2,512,Portugal
357,12775,67,50,257.57,5,2,2,522,Netherlands
358,12778,51,52,193.47,5,1,2,512,Netherlands
359,12779,159,54,586.61,5,3,4,534,Poland
360,12781,30,54,88.15,5,1,1,511,Czech Republic
361,12782,107,37,405.36,5,2,3,523,Portugal
362,12783,86,35,1649.24,5,2,5,525,Portugal
363,12784,59,42,165.29,5,2,1,521,Portugal
364,12785,15,35,69.68,5,1,1,511,Portugal
365,12787,20,42,79.96,5,1,1,511,Netherlands
366,12789,4,98,91.85,5,1,1,511,Netherlands
367,12790,21,225,82.92,3,1,1,311,Netherlands
368,12791,2,406,16.85,1,1,1,111,Netherlands
369,12792,25,289,87.74,2,1,1,211,Portugal
370,12793,24,367,93.84,1,1,1,111,Portugal
371,12794,45,86,93.47,5,1,1,511,Portugal
372,12795,14,51,107.73,5,1,1,511,Portugal
373,12797,17,393,75.57,1,1,1,111,Portugal
374,12798,8,43,8.38,5,1,1,511,Japan
375,12802,26,216,64.25,3,1,1,311,Netherlands
376,12808,28,69,113.29,5,1,1,511,Portugal
377,12809,26,201,115.18,3,1,1,311,Portugal
378,12811,31,293,127.8,2,1,1,211,Portugal
379,12812,15,77,31.03,5,1,1,511,Japan
380,12814,2,134,41.79,4,1,1,411,Poland
381,12815,47,180,253.87,4,1,2,412,Poland
382,12816,29,128,256.15,4,1,2,412,Poland
383,12817,4,314,48.29,2,1,1,211,Austria
384,12818,16,211,101.77,3,1,1,311,Austria
385,12820,59,36,112.38,5,2,1,521,United Kingdom
386,12821,6,247,14.99,3,1,1,311,United Kingdom
387,12822,47,103,138.81,5,1,1,511,United Kingdom
388,12823,5,107,38.25,5,1,1,511,United Kingdom
389,12824,25,92,63.39,5,1,1,511,United Kingdom
390,12826,94,35,180.37,5,2,2,522,United Kingdom
391,12827,25,38,71.7,5,1,1,511,United Kingdom
392,12828,56,35,173.04,5,1,2,512,United Kingdom
393,12829,12,355,154,2,1,1,211,United Kingdom
394,12830,39,70,107.52,5,1,1,511,United Kingdom
395,12831,9,295,27.6,2,1,1,211,United Kingdom
396,12832,27,65,79.08,5,1,1,511,United Kingdom
397,12833,24,178,130.59,4,1,1,411,United Kingdom
398,12834,18,315,88.09,2,1,1,211,United Kingdom
399,12836,175,92,750.37,5,4,5,545,United Kingdom
400,12837,12,206,80.95,3,1,1,311,United Kingdom
401,12838,123,66,285.33,5,3,2,532,United Kingdom
402,12839,316,35,609.1,5,5,4,554,United Kingdom
403,12840,116,176,237.56,4,3,2,432,United Kingdom
404,12841,439,37,1045.72,5,5,5,555,United Kingdom
405,12842,34,103,147.23,5,1,1,511,United Kingdom
406,12843,108,98,368.41,5,2,3,523,United Kingdom
407,12844,52,62,136.82,5,1,1,511,United Kingdom
408,12845,27,300,75.34,2,1,1,211,United Kingdom
409,12847,91,55,121.87,5,2,1,521,United Kingdom
410,12849,51,64,147.62,5,1,1,511,United Kingdom
411,12851,50,129,97.33,4,1,1,411,United Kingdom
412,12852,20,323,70.9,2,1,1,211,United Kingdom
413,12853,84,140,357.54,4,2,3,423,United Kingdom
414,12854,115,111,340.56,5,2,3,523,United Kingdom
415,12855,3,405,4.65,1,1,1,111,United Kingdom
416,12856,317,40,815.88,5,5,5,555,United Kingdom
417,12857,46,243,190.55,3,1,2,312,United Kingdom
418,12863,6,85,25.37,5,1,1,511,United Kingdom
419,12864,3,171,1.97,4,1,1,411,United Kingdom
420,12865,96,59,296.74,5,2,2,522,Austria
421,12866,26,316,114.81,2,1,1,211,Belgium
422,12867,551,59,738.97,5,5,5,555,United Kingdom
423,12868,107,218,279.45,3,2,2,322,United Kingdom
424,12870,2,399,14.9,1,1,1,111,United Kingdom
425,12871,11,117,23.22,4,1,1,411,United Kingdom
426,12872,66,359,164.71,2,2,1,221,United Kingdom
427,12873,4,315,16.15,2,1,1,211,United Kingdom
428,12875,2,176,0.34,4,1,1,411,United Kingdom
429,12876,85,90,191.63,5,2,2,522,Belgium
430,12877,154,36,292.43,5,3,2,532,United Kingdom
431,12878,49,51,98.03,5,1,1,511,United Kingdom
432,12879,12,77,24.22,5,1,1,511,United Kingdom
433,12881,7,308,230.8,2,1,2,212,United Kingdom
434,12882,13,42,83.69,5,1,1,511,United Kingdom
435,12883,42,57,248.93,5,1,2,512,United Kingdom
436,12884,7,121,111.89,4,1,1,411,United Kingdom
437,12885,72,96,272.06,5,2,2,522,United Kingdom
438,12886,86,100,322.07,5,2,2,522,United Kingdom
439,12888,7,247,41.53,3,1,1,311,United Kingdom
440,12890,82,57,148.66,5,2,1,521,United Kingdom
441,12891,3,218,1.1,3,1,1,311,United Kingdom
442,12893,34,63,75.17,5,1,1,511,United Kingdom
443,12895,24,75,79.4,5,1,1,511,United Kingdom
444,12897,4,237,10.8,3,1,1,311,United Kingdom
445,12901,125,41,189.19,5,3,2,532,United Kingdom
446,12902,10,297,56.19,2,1,1,211,United Kingdom
447,12904,72,51,222.12,5,2,2,522,United Kingdom
448,12906,63,44,160.77,5,2,1,521,United Kingdom
449,12908,4,91,2.09,5,1,1,511,United Kingdom
450,12909,96,72,642.61,5,2,4,524,United Kingdom
451,12910,75,56,156.96,5,2,1,521,United Kingdom
452,12912,24,35,65.26,5,1,1,511,United Kingdom
453,12913,50,37,146.24,5,1,1,511,United Kingdom
454,12915,22,181,149.35,4,1,1,411,United Kingdom
455,12916,109,171,450.15,4,2,3,423,United Kingdom
456,12917,2,161,9.9,4,1,1,411,United Kingdom
457,12919,52,41,144.12,5,1,1,511,United Kingdom
458,12920,28,50,107.55,5,1,1,511,United Kingdom
459,12921,741,36,1772.04,5,5,5,555,United Kingdom
460,12922,28,194,45.58,4,1,1,411,United Kingdom
461,12923,29,97,85.16,5,1,1,511,United Kingdom
462,12924,31,121,99.4,4,1,1,411,United Kingdom
463,12925,45,37,103.96,5,1,1,511,United Kingdom
464,12928,84,68,163.18,5,2,1,521,United Kingdom
465,12929,9,155,69.7,4,1,1,411,United Kingdom
466,12930,27,111,80.77,5,1,1,511,United Kingdom
467,12931,102,54,175.53,5,2,2,522,United Kingdom
468,12933,107,57,281.83,5,2,2,522,United Kingdom
469,12935,130,35,266.42,5,3,2,532,United Kingdom
470,12936,63,50,128.61,5,2,1,521,United Kingdom
471,12937,120,48,284.6,5,3,2,532,United Kingdom
472,12938,9,58,11.44,5,1,1,511,United Kingdom
473,12939,47,97,112.96,5,1,1,511,United Kingdom
474,12940,103,79,411.35,5,2,3,523,United Kingdom
475,12942,75,164,310.34,4,2,2,422,United Kingdom
476,12943,1,334,3.75,2,1,1,211,United Kingdom
477,12944,30,68,95.66,5,1,1,511,United Kingdom
478,12945,23,321,113.85,2,1,1,211,United Kingdom
479,12947,103,176,438.97,4,2,3,423,United Kingdom
480,12948,118,49,347.7,5,3,3,533,United Kingdom
481,12949,219,63,625.61,5,4,4,544,United Kingdom
482,12950,23,35,31.95,5,1,1,511,United Kingdom
483,12951,65,41,204.63,5,2,2,522,United Kingdom
484,12952,80,38,325.9,5,2,2,522,United Kingdom
485,12953,17,42,113,5,1,1,511,United Kingdom
486,12955,183,34,310.94,5,4,2,542,United Kingdom
487,12956,19,339,82.94,2,1,1,211,United Kingdom
488,12957,244,37,691.23,5,5,5,555,United Kingdom
489,12962,16,40,47.77,5,1,1,511,United Kingdom
490,12963,96,41,314.96,5,2,2,522,United Kingdom
491,12965,109,122,399.36,4,2,3,423,United Kingdom
492,12966,10,42,34.23,5,1,1,511,United Kingdom
493,12967,33,36,189.59,5,1,2,512,United Kingdom
494,12968,5,145,16.45,4,1,1,411,United Kingdom
495,12970,151,40,306.65,5,3,2,532,United Kingdom
496,12971,308,36,714.85,5,5,5,555,United Kingdom
497,12974,8,230,61.6,3,1,1,311,United Kingdom
498,12976,22,244,33.76,3,1,1,311,United Kingdom
499,12977,9,189,38.07,4,1,1,411,United Kingdom
500,12980,24,188,396.03,4,1,3,413,United Kingdom
501,12981,20,62,32.47,5,1,1,511,United Kingdom
502,12982,34,272,59.28,3,1,1,311,United Kingdom
503,12984,4,51,15.4,5,1,1,511,United Kingdom
504,12985,78,33,145.84,5,2,1,521,United Kingdom
505,12987,30,106,184.8,5,1,2,512,United Kingdom
506,12988,92,325,378.14,2,2,3,223,United Kingdom
507,12989,68,36,213.11,5,2,2,522,United Kingdom
508,12990,13,64,26.65,5,1,1,511,United Kingdom
509,12991,31,56,71.51,5,1,1,511,United Kingdom
510,12993,27,56,57.72,5,1,1,511,United Kingdom
511,12994,73,37,304.81,5,2,2,522,United Kingdom
512,12995,5,110,7.99,5,1,1,511,United Kingdom
513,12997,67,55,211.21,5,2,2,522,United Kingdom
514,12999,28,229,71.38,3,1,1,311,United Kingdom
515,13000,31,139,93.39,4,1,1,411,United Kingdom
516,13001,342,37,828.49,5,5,5,555,United Kingdom
517,13002,7,351,19.75,2,1,1,211,United Kingdom
518,13003,6,138,13.5,4,1,1,411,United Kingdom
519,13004,409,44,822.5,5,5,5,555,United Kingdom
520,13005,29,206,157.9,3,1,1,311,United Kingdom
521,13006,4,89,21.18,5,1,1,511,United Kingdom
522,13008,15,356,25.13,2,1,1,211,United Kingdom
523,13011,3,405,12.65,1,1,1,111,United Kingdom
524,13012,107,42,361.4,5,2,3,523,United Kingdom
525,13013,222,34,701.75,5,4,5,545,United Kingdom
526,13014,124,35,649.72,5,3,4,534,United Kingdom
527,13015,176,86,886.26,5,4,5,545,United Kingdom
528,13016,47,106,149.14,5,1,1,511,United Kingdom
529,13017,1,40,4.25,5,1,1,511,United Kingdom
530,13018,459,49,1003.49,5,5,5,555,United Kingdom
531,13021,134,37,509.5,5,3,4,534,United Kingdom
532,13023,40,97,182.1,5,1,2,512,United Kingdom
533,13026,43,34,36.69,5,1,1,511,United Kingdom
534,13027,26,146,10.4,4,1,1,411,United Kingdom
535,13028,47,55,47.27,5,1,1,511,United Kingdom
536,13029,10,63,73.88,5,1,1,511,United Kingdom
537,13030,99,44,314.81,5,2,2,522,United Kingdom
538,13032,75,71,278.01,5,2,2,522,United Kingdom
